### EC-numbers
1.4.3.-	4.2.1.1	2.7.6.-	3.5.1.88	5.4.99.-	3.1.21.4	2.3.1.48	7.2.1.-	1.16.3.1	3.4.19.12	1.3.8.-	2.7.7.19	2.4.2.-	1.1.1.169	2.4.2.10	3.5.3.1	3.3.2.-	3.1.26.4	7.1.1.9	3.4.13.9	1.1.1.100	5.1.1.-	3.1.22.-	3.4.21.-	1.11.1.-	3.4.22.28	4.6.1.18	3.4.21.4	6.1.1.4	1.15.1.1	3.4.19.-	3.4.11.1	3.4.25.1	1.3.1.9	2.4.99.-	1.1.99.-	1.97.1.12	2.7.4.6	1.17.1.-	1.7.2.-	2.7.1.71	4.2.1.11	3.4.21.90	4.1.99.-	2.8.1.1	3.6.4.13	6.3.4.4	2.7.11.1	2.7.7.23	1.9.3.-	2.3.1.39	4.1.1.11	3.2.1.26	3.1.13.-	1.8.99.-	1.11.1.6	4.2.1.2	5.3.4.1	3.2.1.4	3.4.21.5	1.14.16.-	6.3.4.2	2.1.1.37	1.12.99.-	2.1.1.361	2.1.1.-	3.1.8.1	2.7.11.-	2.3.2.24	2.7.7.48	3.5.1.98	3.1.1.31	2.7.11.22	1.18.1.2	3.1.13.4	4.1.1.23	3.2.2.27	2.5.1.7	1.14.11.-	3.5.1.2	6.3.1.2	4.3.2.-	4.1.2.25	5.3.2.-	2.7.1.1	3.1.11.-	2.7.7.4	3.6.3.14	4.2.1.20	2.3.1.41	1.18.6.1	2.3.1.74	6.3.2.19	3.2.2.22	2.8.4.1	2.4.2.17	2.1.1.56	1.10.3.-	2.5.1.54	1.2.1.11	4.2.1.8	3.1.3.16	1.12.7.2	2.7.1.-	1.17.4.1	2.7.10.-	3.1.2.14	5.3.1.6	3.4.21.91	2.2.1.-	2.7.1.2	2.7.3.-	3.1.22.4	2.3.1.16	4.99.1.-	2.7.1.35	3.4.22.69	3.1.27.-	1.12.7.-	5.1.3.-	2.7.7.65	1.17.4.-	5.3.1.24	4.2.1.59	2.5.1.10	1.8.4.11	3.4.25.-	2.7.10.2	5.2.1.-	6.1.1.3	2.7.7.49	2.8.4.-	4.1.3.-	2.3.1.31	1.1.1.205	3.1.30.-	3.4.23.-	6.5.1.2	6.1.1.15	3.6.4.-	6.2.1.-	4.1.3.3	2.7.7.60	6.3.2.6	5.1.1.3	2.4.2.9	1.14.13.-	1.1.2.-	1.1.1.1	5.1.99.-	2.8.2.-	2.5.1.47	2.7.11.24	3.4.22.15	2.6.1.42	2.1.3.2	3.2.2.9	4.2.3.3	2.6.1.-	1.5.1.-	2.7.7.24	2.1.1.57	6.1.1.20	5.3.1.5	2.7.1.25	2.2.1.1	3.6.1.1	2.3.3.16	6.3.4.-	2.7.7.9	1.18.1.-	4.2.99.-	4.1.2.4	3.1.3.1	5.3.3.8	3.2.1.1	2.7.10.1	4.2.1.113	4.2.2.2	6.1.1.1	3.1.3.-	1.2.4.-	1.6.99.-	2.5.1.18	3.4.22.29	3.1.3.2	1.1.1.27	2.3.1.286	1.14.15.-	2.7.7.3	3.1.13.2	2.7.7.6	5.4.99.18	4.1.1.39	2.7.4.8	5.6.2.1	2.3.1.-	1.7.1.-	1.6.5.2	1.18.6.-	4.6.1.2	2.6.1.52	3.1.6.-	1.6.5.-	2.3.2.31	3.6.5.5	2.8.3.-	2.3.2.-	3.2.1.18	3.5.99.-	3.1.4.35	3.1.8.-	2.3.1.12	1.6.2.-	2.1.1.72	2.3.3.-	3.4.21.92	1.14.11.27	2.7.11.17	2.1.1.359	2.7.13.-	2.5.1.15	6.3.3.-	3.2.1.22	6.1.1.6	4.3.3.7	3.4.11.18	4.2.3.4	3.1.2.-	2.4.2.8	4.1.1.48	3.7.1.-	3.1.4.53	7.2.2.-	2.7.6.5	3.6.5.3	4.3.3.-	2.7.1.21	3.1.4.-	1.11.1.24	3.6.4.10	1.14.14.1	3.5.1.60	3.2.1.52	1.16.3.-	3.1.26.3	3.4.24.69	3.5.1.11	2.1.1.193	1.7.2.1	1.14.99.-	3.6.5.2	2.7.7.n1	4.1.1.-	2.3.2.26	2.4.1.15	2.5.1.-	3.1.3.11	1.14.11.67	2.3.1.180	2.4.2.7	3.6.4.12	2.5.1.19	1.1.1.-	1.8.1.9	1.9.3.1	2.7.1.15	2.7.1.11	3.4.11.-	2.1.2.-	7.6.2.-	3.5.1.28	3.8.1.5	6.3.4.13	1.11.1.9	1.13.11.-	4.1.2.13	3.4.16.4	6.1.1.7	1.1.3.-	2.4.1.129	3.1.1.29	3.4.21.53	3.6.5.-	3.1.1.4	1.1.1.86	3.2.2.-	2.6.1.1	4.2.99.18	5.5.1.-	2.7.11.30	3.1.26.-	1.8.1.4	1.14.14.-	3.2.1.14	3.5.4.-	2.1.2.1	3.2.1.3	1.97.1.-	6.3.4.14	2.7.12.1	2.7.11.25	2.5.1.17	6.3.5.2	6.3.2.1	3.2.1.78	3.1.11.2	1.6.99.3	2.1.2.2	1.1.1.42	7.1.1.8	7.1.1.2	3.1.2.2	3.4.22.46	3.1.3.36	2.4.1.-	3.1.3.33	4.3.2.2	1.14.12.-	1.13.12.-	3.4.22.-	5.3.1.1	4.2.1.-	3.2.1.169	3.2.1.17	6.5.1.1	1.1.1.35	1.3.5.-	1.2.1.3	2.5.1.1	7.2.2.8	6.3.1.-	2.5.1.78	2.7.7.50	2.1.3.-	2.7.7.-	5.4.3.8	2.7.2.4	1.10.3.2	3.1.1.3	3.6.1.15	5.6.2.2	3.1.3.3	3.2.1.20	3.6.1.9	2.3.2.27	3.6.1.23	6.1.1.-	4.2.1.10	3.4.13.-	6.3.2.4	1.1.1.2	3.4.21.107	1.6.99.1	2.7.4.9	1.15.1.-	3.6.1.34	1.3.1.-	3.6.1.55	3.4.24.-	3.6.1.-	4.1.1.50	4.2.2.-	3.3.1.1	3.4.22.1	3.1.4.11	3.5.1.1	3.3.1.-	1.1.1.267	3.2.1.55	1.1.1.25	3.6.1.7	2.7.13.3	2.7.1.40	2.3.1.9	1.7.3.-	5.4.2.-	1.7.1.17	3.2.2.6	4.1.1.33	1.8.5.-	5.3.3.-	3.2.1.31	6.3.5.-	1.14.19.-	6.1.1.11	1.12.99.6	1.4.1.-	4.6.1.1	3.1.3.86	3.2.1.91	4.3.2.10	3.4.16.-	3.1.3.5	3.5.4.4	6.4.1.-	1.17.1.8	2.5.1.16	4.3.1.-	3.4.23.16	6.3.3.1	3.2.1.73	5.1.3.13	1.2.1.12	1.6.2.4	6.1.1.17	2.3.1.1	3.5.3.-	3.2.1.8	2.1.1.45	3.2.1.21	5.1.3.2	2.3.1.129	2.7.2.-	5.3.1.-	2.7.2.8	2.4.2.1	1.14.14.18	3.5.1.5	3.5.4.38	5.4.3.-	6.5.1.-	2.7.12.2	2.5.1.55	1.8.1.7	3.1.21.-	1.8.4.12	1.11.1.15	1.1.1.85	3.6.1.3	2.7.1.33	2.7.8.7	3.1.3.25	3.2.1.96	7.1.1.-	3.2.1.39	2.4.2.3	3.5.4.9	2.2.1.2	3.6.3.-	3.5.1.-	1.11.1.7	1.5.1.5	2.4.2.19	1.8.3.2	1.3.99.-	1.5.3.-	5.6.1.-	1.8.1.-	2.7.3.9	2.5.1.6	3.4.21.62	1.8.4.-	5.3.1.16	2.3.2.2	3.4.17.-	2.7.4.-	3.2.1.-	6.3.1.5	4.3.3.6	2.1.3.3	1.5.1.3	3.5.2.3	5.4.2.11	2.7.7.8	2.8.1.7	2.7.7.7	3.2.1.37	2.7.12.-	5.3.1.9	1.2.7.-	6.1.1.2	7.1.2.-	2.3.1.5	3.4.14.-	6.1.1.10	1.16.1.-	2.1.1.228	3.5.2.6	2.1.1.354	2.7.4.3	4.1.2.-	4.4.1.5	5.3.4.-	4.6.1.-	5.1.1.1	3.4.24.3	4.4.1.-	1.3.7.-	2.3.1.117	5.4.99.5	1.2.1.-	2.4.2.30	1.14.18.-	3.1.1.1	3.1.3.48	3.4.21.98	5.6.2.-	3.1.26.5	7.2.1.1	2.7.11.12	1.3.3.-	2.7.7.18	3.1.1.-	5.2.1.8	2.7.1.69	1.1.1.37	3.6.4.6	3.1.4.17	2.7.11.13	3.5.2.-	4.2.1.17	2.7.2.3	4.2.3.-	5.3.99.-	3.1.1.72	2.3.1.179	3.2.1.23	1.14.13.25	3.1.26.13	3.8.1.-	4.1.1.20	2.7.11.26	6.1.1.21	2.7.11.21	2.7.4.22	1.8.3.-	2.3.1.57	1.3.5.1	3.1.1.53	7.1.2.2	6.4.1.2	2.7.8.-	6.3.2.-	2.8.1.-	3.5.4.5	4.6.1.12	2.3.2.23
### SWISS-MODEL-chain	EC-numbers
Q9ZJV7-C	7.1.1.-
Q03515-A	2.4.2.-
C5DAS5-A	3.4.11.-
C5BFN3-A	3.4.11.-
Q8RXZ4-A	3.1.3.16,3.1.3.-
Q68Y01-A	2.7.11.-
B7V0A9-A	3.6.5.-
C5D9D5-A	2.7.7.8,2.7.7.-
P10056-A	3.4.22.-
A6VM22-A	2.1.1.-
Q5RDG7-A	2.7.11.-
A2ST56-A	4.6.1.-
A5CZ07-A	4.6.1.-
A5G6S0-A	2.1.1.-
Q03638-A	6.3.5.-
B8GEZ7-A	4.6.1.-
B0TH58-A	5.3.1.-
Q02200-A	1.11.1.7,1.11.1.-
A9SCJ6-A	1.13.11.-
C3KEA5-A	4.6.1.-
Q9YDA1-A	2.1.1.-
O87605-A	1.14.15.-
Q9XWV2-A	3.1.1.-
B8H091-A	2.4.1.-
Q82ZA4-A	3.6.1.9,3.6.1.-
Q8TI34-A	2.1.1.-
P14230-A	2.1.1.-
Q5F0I3-A	3.2.2.-,3.2.2.22
Q9CP97-A	5.4.99.-
A5CS51-A	2.4.1.-
P29339-A	3.2.2.-,3.2.2.22
Q2NDE3-A	2.1.3.2,2.1.3.-
Q5L0J5-A	3.4.24.-
Q46AS9-A	2.5.1.-,2.5.1.78
Q9LDD5-A	3.1.3.-
A0L4R8-A	6.3.4.-
B6IZS2-A	2.4.99.-
Q7T6Y8-A	1.17.4.1,1.17.4.-
Q5X5I9-A	2.1.1.-
P09560-A	2.7.11.1,2.7.11.-
Q88U29-A	2.1.2.-
B1MWX1-A	2.1.1.-
Q24UN9-A	2.4.99.-
Q38XW3-A	2.1.2.-
Q5V2T3-A	2.1.3.2,2.1.3.-
Q48MF3-A	2.1.1.-
Q5SMH0-A	2.4.99.-
Q8KA55-A	4.1.99.-
Q93ZG7-A	3.6.4.-,3.6.4.13
P62998-A	3.6.5.2,3.6.5.-
A0RQX6-A	2.1.3.2,2.1.3.-
P17560-A	5.1.3.-
Q9FNG3-A	3.1.13.-
A2SK12-A	2.5.1.-,2.5.1.78
A5F3H1-A	2.4.99.-
B1LZB2-A	2.5.1.-,2.5.1.78
Q8ZYH7-A	2.1.3.2,2.1.3.-
Q2NF51-A	6.3.4.-
B8GJL3-A	6.3.4.-
B0U6A9-A	2.4.99.-
Q8RH71-B	3.1.26.-
Q0K7W8-A	6.3.4.-
A4G8L8-A	2.1.3.2,2.1.3.-
Q3MCG0-A	2.5.1.-,2.5.1.78
Q8EVP2-A	2.1.1.-
Q9X240-A	2.1.1.-
Q3AQY1-A	2.1.3.2,2.1.3.-
B5Z796-A	2.8.4.-
Q5P3H3-A	2.5.1.-,2.5.1.78
Q9SUS5-A	2.3.2.27,2.3.2.-
Q94BV4-A	3.6.4.-,3.6.4.13
B3PW37-A	2.1.3.2,2.1.3.-
Q28KE3-A	2.1.3.2,2.1.3.-
Q1H4P3-A	2.7.7.6,2.7.7.-
Q9UTI0-A	3.5.2.-,3.5.2.3
Q1D898-A	2.1.2.-
B0UWJ9-A	2.4.99.-
Q8RXK6-A	3.6.4.-,3.6.4.13
Q2UMM4-A	2.7.1.-
Q8RG90-A	2.4.2.-,2.4.2.9
Q74BY3-A	6.3.4.-,6.3.4.2
P0DH77-A	2.4.2.-,2.4.2.9
D3RZA9-A	2.7.7.-
Q03E83-A	2.1.2.-
A5GQ24-A	2.5.1.-,2.5.1.78
A5D1C7-A	2.5.1.-,2.5.1.78
C5D8P5-A	2.4.2.-,2.4.2.9
A5N2L8-A	2.1.3.2,2.1.3.-
Q6NGA1-K	7.1.1.-,7.1.1.8
Q0TRA8-A	2.1.3.2,2.1.3.-
B1VDM8-A	2.1.3.2,2.1.3.-
A1TSY0-A	3.5.2.-
A3PFD1-A	2.5.1.-,2.5.1.78
A0AIY0-A	2.4.99.-
B9JS46-A	6.3.4.-
Q21KW2-A	2.4.99.-
Q3KI92-A	2.1.1.-
B4S3W8-A	2.5.1.-,2.5.1.78
B2ICH3-A	2.5.1.-,2.5.1.78
Q9Z034-A	2.7.7.-
Q3AH63-A	2.8.4.-
Q126D2-A	1.7.1.-
C0QVI8-A	2.5.1.-,2.5.1.78
Q7VGH1-A	6.3.4.-,6.3.4.2
P50650-A	1.17.4.1,1.17.4.-
A5IS85-A	2.1.3.2,2.1.3.-
Q15RL9-A	6.3.4.-
A6UQ52-A	3.1.26.5,3.1.26.-
A1VS34-A	1.7.1.-
Q12ZP0-A	2.1.3.2,2.1.3.-
Q6AS40-A	2.1.3.2,2.1.3.-
Q9CLL7-A	2.4.2.-,2.4.2.9
O72157-A	3.4.21.-
Q8PJ10-A	2.8.4.-
Q98ES7-A	2.1.2.-
A8GMD3-A	2.1.1.-
Q15VK5-A	2.1.1.-
Q3IHQ6-A	2.1.1.-
Q2NWR6-A	2.7.7.6,2.7.7.-
A5W169-A	3.1.26.4,3.1.26.-
Q5M4C1-A	3.5.2.-,3.5.2.3
Q7CWI1-B	2.1.1.-
C1DDY1-A	1.3.5.-
O51528-A	3.6.4.-,3.6.4.12
Q92RG0-A	3.1.26.4,3.1.26.-
O65194-C	4.1.1.39,4.1.1.-
B1M5Q9-A	6.3.4.-,6.3.4.2
Q2RFU8-A	6.3.4.-,6.3.4.2
A9FQE4-A	2.1.1.-
Q9SSN0-A	3.6.5.-
B8EJS8-A	6.3.4.-,6.3.4.2
A7ZUB5-A	2.7.1.-
A1RWX0-A	2.7.7.6,2.7.7.-
Q3IS15-A	6.3.4.-,6.3.4.2
A9NEQ8-A	2.1.1.-
Q73IS9-A	2.1.1.-
C3K1L7-B	2.1.1.-
B9MS89-A	2.1.2.-
Q0THH6-A	3.1.13.-
A1KUX8-A	6.3.4.-,6.3.4.2
Q57832-A	2.7.7.6,2.7.7.-
A3D440-A	3.1.26.4,3.1.26.-
P0AG20-w	2.7.6.5,2.7.6.-
Q8ESX1-A	2.7.1.-
A1S6T0-A	3.1.26.4,3.1.26.-
Q11RC7-A	2.1.1.-
A5DIX5-A	3.6.4.-,3.6.4.13
B5F0M8-A	2.7.1.-
P84844-A	4.6.1.18,4.6.1.-
Q2NHD6-A	2.1.1.-
C4L7I7-A	2.1.1.-
Q6D5W0-A	3.1.13.-
Q89AK8-B	2.1.1.-
Q0TTB0-A	2.1.2.-
B8GG79-A	2.1.1.-
Q128E7-A	6.3.4.-,6.3.4.2
A0T0R1-A	2.7.7.6,2.7.7.-
Q5NQH8-A	2.1.1.-
Q8RG42-A	3.6.4.-
Q8K9P5-A	2.1.1.-
Q912W1-A	2.7.7.-
Q8PFX6-A	1.7.1.-
P34431-A	3.4.23.-
E1SSZ4-A	2.1.1.-
Q5LBA7-A	2.1.1.-
O27199-A	3.5.2.-,3.5.2.3
Q7MII6-A	3.1.26.4,3.1.26.-
B9LUV3-A	2.5.1.-,2.5.1.78
B0KA32-A	1.3.1.-
B9M0D9-A	2.1.1.-
Q95Q34-A	2.7.11.1,2.7.11.-
Q9CMY9-A	5.4.99.-
C4LE64-A	3.5.4.-
Q9K9V6-A	2.1.3.2,2.1.3.-
Q67620-A	2.7.7.-
A5EX48-A	2.1.1.-
Q8TZY6-A	6.3.4.-,6.3.4.2
Q9I525-A	2.1.1.-
Q8D2L9-A	3.1.13.-
Q5E2D3-A	6.3.4.-,6.3.4.4
Q13Z67-A	2.1.1.-
B7VME9-A	3.6.4.-,3.6.4.13
P44433-A	5.4.99.-
Q8UGK8-E	2.7.7.6,2.7.7.-
Q4UKQ3-A	5.4.99.-
B8DNV5-A	6.3.3.-,6.3.3.1
C3KWJ9-A	3.1.26.5,3.1.26.-
A2QB52-A	6.3.4.-,6.3.4.4
Q5ARE6-A	3.2.1.-
A9VJL6-A	3.1.26.4,3.1.26.-
Q75E56-A	6.3.4.-,6.3.4.4
Q7MZI3-A	3.5.2.-
P87241-B	3.5.4.-
B7VK72-A	2.1.1.-
A1WU91-A	4.1.3.-
P19642-A	2.7.1.-
O04435-A	4.1.1.39,4.1.1.-
A9IQ57-A	6.3.4.-,6.3.4.4
A7HGP4-A	2.7.7.6,2.7.7.-
Q8DYG8-A	2.7.4.-,2.7.4.22
Q9YBJ4-A	6.3.4.-,6.3.4.2
Q6FLF8-A	5.3.1.6,5.3.1.-
Q6G463-A	2.4.2.-,2.4.2.10
Q891M0-A	5.4.99.-
P66728-E	2.7.7.6,2.7.7.-
Q44843-A	4.1.1.23,4.1.1.-
Q92J44-A	4.1.2.-
Q58668-A	4.1.2.-
Q15257-A	5.2.1.8,5.2.1.-
Q8TPX2-A	3.1.26.5,3.1.26.-
B0CL36-A	6.3.3.-,6.3.3.1
B9DPL6-A	2.7.7.6,2.7.7.-
P43295-A	3.4.22.-
A0L486-E	2.7.7.6,2.7.7.-
Q83HZ6-A	2.7.4.-,2.7.4.22
Q469M8-A	3.1.26.5,3.1.26.-
B8DUJ6-A	2.4.2.-,2.4.2.10
C1CQG7-A	4.1.1.23,4.1.1.-
Q2W9A9-A	3.1.26.4,3.1.26.-
Q057J5-A	2.1.1.-
Q3AUF2-A	2.1.2.-
A1A1G3-A	2.4.2.-,2.4.2.10
Q9F8Q3-A	3.1.1.-,3.1.1.29
A1U0U9-A	3.1.26.4,3.1.26.-
Q9PJ84-A	6.3.4.-,6.3.4.2
Q255S1-A	3.1.1.-,3.1.1.29
A5CQS6-A	2.7.4.-,2.7.4.22
Q8PTU3-A	3.1.26.5,3.1.26.-
Q88YY5-A	5.3.1.6,5.3.1.-
P47700-A	6.1.1.17,6.1.1.-
A0QWT1-E	2.7.7.6,2.7.7.-
B2FT05-A	2.7.7.6,2.7.7.-
A2RHL3-A	3.1.26.5,3.1.26.-
P14957-A	4.1.1.39,4.1.1.-
B1KFT2-A	5.3.1.6,5.3.1.-
Q7UIA4-A	4.1.1.23,4.1.1.-
Q2RKU0-A	3.1.26.4,3.1.26.-
Q21RX7-A	4.1.1.23,4.1.1.-
Q97CR8-A	6.3.4.-,6.3.4.2
Q02Y55-A	6.3.5.-
Q3SP51-A	3.1.26.4,3.1.26.-
C3LLS4-A	2.1.2.-
Q6AD21-B	2.7.7.6,2.7.7.-
Q9YD20-A	3.1.26.5,3.1.26.-
Q4A6N7-A	3.6.4.-,3.6.4.12
O44410-A	2.1.1.-
A7GN87-A	3.1.22.4,3.1.22.-
O84859-A	3.4.11.18,3.4.11.-
B9LZ53-A	2.6.1.-
B3M996-A	2.8.1.-
Q9WTZ3-A	3.4.21.-
Q9JHF7-A	5.3.99.-
P57324-A	3.4.11.18,3.4.11.-
Q3SQ65-A	3.6.3.-
P53778-A	2.7.11.24,2.7.11.-
A2QWU9-A	3.2.1.-
Q6BVY4-A	2.1.1.-
P33434-A	3.4.24.-
P19907-A	1.14.14.-
Q8ZR89-C	3.6.3.-
A6UU75-A	2.5.1.-,2.5.1.6
Q3IH16-B	2.8.1.-
A6W3D6-A	2.5.1.-,2.5.1.6
Q8EFB2-A	2.6.1.-
Q8K2I4-A	3.2.1.-
O27375-A	2.4.2.-,2.4.2.8
A6R7B8-A	3.4.22.-
Q2J8K9-A	2.6.1.-
Q1GK90-A	2.5.1.-,2.5.1.6
B2V099-A	4.2.3.-,4.2.3.3
Q75B43-A	3.4.22.-
Q2RHY7-A	2.8.1.-
B6ELZ7-A	2.7.1.-
P50107-A	4.4.1.-,4.4.1.5
C5CQJ5-A	5.3.1.16,5.3.1.-
A4VNE5-A	2.1.1.-
Q1I3U0-A	3.4.25.-
A4YZA6-A	1.1.1.-,1.1.1.86
Q8VHF0-A	2.7.11.1,2.7.11.-
B5FCB2-A	3.4.21.-
B2UE02-A	2.3.1.-
A1SZ16-A	2.3.1.-
A5GTI3-A	3.4.23.-
A3QF21-A	4.3.2.-,4.3.2.10
P37171-A	2.4.2.-,2.4.2.8
A6VM61-A	4.4.1.-
Q63Q86-A	1.1.1.-
P28630-A	2.7.7.-,2.7.7.7
B9LK98-A	2.8.1.-
Q1MNB5-A	3.4.25.-
D2YW48-A	2.5.1.-,2.5.1.18
Q9K7K8-A	4.4.1.-
Q0SS39-A	2.8.1.-
P0DC21-A	3.4.23.-
O34667-A	4.4.1.-
A6UEK3-B	4.3.2.-,4.3.2.10
Q668V6-A	3.4.24.-
Q1K9C2-A	1.8.1.-
A0KLY1-F	2.7.1.-
P27042-A	3.2.1.17,3.2.1.-
Q89MA7-A	2.3.2.-
Q01ZU6-B	4.3.2.-,4.3.2.10
P03075-A	3.6.4.-
Q7RVY5-A	2.3.1.-
Q8YT80-A	6.3.5.-,6.3.5.2
Q4P331-A	3.6.4.-,3.6.4.13
P13470-A	2.4.1.-
Q13XE2-A	6.3.5.-,6.3.5.2
Q99046-A	1.10.3.-,1.10.3.2
A4SVJ1-A	2.7.1.-
Q4FPB7-A	2.7.1.-
Q2NUA4-A	2.7.1.-
Q04CB0-A	1.7.1.-
Q9S2T7-B	4.3.2.-,4.3.2.10
B8M990-A	3.4.11.18,3.4.11.-
Q9I576-A	1.13.11.-
B1KZJ2-A	2.8.1.-
A7HUC7-A	2.7.1.-
O73688-A	1.14.14.-,1.14.14.18
B9LI82-A	2.5.1.-
A6VH31-A	6.3.5.-,6.3.5.2
O33367-A	5.6.2.2,5.6.2.-
Q2JY05-B	2.5.1.-
Q606F4-A	1.1.1.-,1.1.1.85
Q8U2A0-A	4.2.1.-
P41926-A	1.1.1.-,1.1.1.85
Q0CXD0-A	3.6.4.-,3.6.4.13
P49852-A	1.14.12.-
Q68XZ6-A	2.3.1.129,2.3.1.-
Q38X31-A	3.4.23.-
Q6N2R5-A	2.7.1.-
Q6CDR5-A	1.13.11.-
Q8PXF0-A	6.3.5.-,6.3.5.2
P23971-A	6.2.1.-
Q97VZ9-A	6.3.5.-,6.3.5.2
Q9RQ47-A	1.1.1.-,1.1.1.86
Q9V1I9-A	4.2.1.-
Q46K01-A	2.3.3.-
Q3Z7F2-A	4.3.2.-,4.3.2.10
Q9RYR5-A	1.14.12.-
Q6CXT4-A	3.6.4.-,3.6.4.13
B9KZP8-A	1.2.1.-
O33117-A	1.1.1.-,1.1.1.85
O29986-A	6.3.5.-,6.3.5.2
P24232-A	1.14.12.-
Q0IDZ4-A	2.5.1.-
Q3BXU0-A	3.4.25.-
Q02748-A	3.6.4.-,3.6.4.13
Q30QJ1-A	2.3.1.129,2.3.1.-
Q7VD58-A	4.99.1.-
P30015-A	3.6.4.-
Q7NBU2-A	2.5.1.-
Q12ZP6-A	6.3.5.-,6.3.5.2
B8DDQ9-A	3.4.23.-
C5CKT2-A	2.3.1.129,2.3.1.-
Q5E0C4-A	3.5.3.-
Q11CV9-A	1.1.1.-,1.1.1.37
O66490-A	2.7.4.3,2.7.4.-
O76819-A	1.1.1.-
O74298-A	1.2.1.-
Q4ZLV4-A	2.5.1.-
A7Z064-A	1.1.1.-
Q891G7-A	6.3.5.-,6.3.5.2
Q87D42-A	6.3.2.-
A1RS58-A	1.1.1.-,1.1.1.37
A1S8R3-A	1.2.1.-
Q7VIW9-A	4.3.2.-,4.3.2.10
P77993-A	5.6.2.2,5.6.2.-
Q9R9I1-A	3.4.21.107,3.4.21.-
P58275-A	3.4.21.-
Q8FPE0-A	2.5.1.-
Q8ZW35-A	2.3.3.-
Q26422-A	3.4.21.-
P50506-A	2.7.1.1,2.7.1.-
Q8J0I9-A	3.2.1.-
P43065-A	1.5.1.-
Q3AT43-A	3.5.4.-
Q2RV34-A	1.1.1.-,1.1.1.37
P0CT44-A	1.1.1.-
Q45479-A	3.4.23.-
B7J5S3-A	4.2.1.-
Q8TBB1-A	2.3.2.27,2.3.2.-
P11160-A	3.6.3.-
Q97C09-A	6.3.5.-,6.3.5.2
A5FVL8-A	2.5.1.-
A0RQ02-A	1.1.1.-,1.1.1.86
Q96N76-A	4.2.1.-
Q9FT88-A	2.4.1.-
O59391-A	4.2.1.-
F4KBF5-A	2.7.1.21,2.7.1.-
A9AWD5-A	5.5.1.-
Q2KIZ3-A	5.1.99.-
Q89X34-A	4.2.1.-
O33641-A	3.4.23.-
Q1J022-A	2.5.1.-
Q6LVZ5-A	1.1.1.-,1.1.1.86
A8GWI0-A	1.1.1.-,1.1.1.37
Q6BKJ4-A	3.4.21.53,3.4.21.-
B1LBT2-A	2.7.7.60,2.7.7.-
A1JKU0-A	4.2.99.-
B8J3C2-A	2.5.1.-
C8V3W5-A	3.5.1.-
Q80DX6-A	3.1.3.33,3.1.3.-
B3QSP0-A	1.1.1.-,1.1.1.86
A8GQK5-A	2.5.1.-
A3QIN7-A	4.2.1.-
Q3J802-A	2.5.1.-
O66817-A	2.3.1.-
Q46WL9-A	3.5.4.-
A8ACS4-A	1.1.1.-,1.1.1.86
Q9TSM5-A	2.5.1.-,2.5.1.18
Q2P757-A	1.1.1.-,1.1.1.86
B1VG26-A	1.1.1.-,1.1.1.86
Q6A7Z2-A	1.1.1.-,1.1.1.86
B5ETN4-A	3.5.2.-
Q6AQI3-A	1.1.1.-,1.1.1.37
A4FBW8-A	2.4.2.-,2.4.2.17
A6WZW3-A	2.5.1.-
Q8DC60-A	2.7.7.60,2.7.7.-
Q5PAX8-A	3.6.5.-
Q2VYJ1-A	3.6.1.-
Q754U7-A	2.1.1.-,2.1.1.56
A1U671-A	3.6.1.-
A1R551-A	2.5.1.-
Q720B9-A	3.4.21.-
P24096-A	2.7.1.21,2.7.1.-
Q86Z02-A	2.7.11.1,2.7.11.-
A5VDT3-A	2.7.1.-
Q03G75-A	2.5.1.-
Q97EE1-A	4.2.1.-
P45260-A	2.2.1.-
A9BHW9-A	2.5.1.-
B8CMP6-A	2.7.7.-
O66567-A	4.3.2.-,4.3.2.10
Q9H4Y5-A	2.5.1.-,2.5.1.18
A6TKT6-B	4.3.2.-,4.3.2.10
Q9HFV5-A	5.3.1.16,5.3.1.-
Q2KZ03-A	3.4.24.-
C3PHY1-A	3.6.5.-
Q6U6J0-A	3.3.2.-
Q20296-A	3.5.1.98,3.5.1.-
B8G9S2-A	5.3.1.16,5.3.1.-
C5DWG7-A	3.6.5.-
Q920P5-A	2.7.4.3,2.7.4.-
P85841-A	3.2.1.-
Q94517-A	3.5.1.98,3.5.1.-
Q2LTI8-A	2.5.1.-
A1U269-A	3.4.21.-
Q9RU74-A	1.1.1.-,1.1.1.86
Q7NL02-A	1.1.1.-
B1XRT3-A	2.5.1.-
A8M5I3-A	4.2.1.-
Q8TS91-A	4.3.2.-,4.3.2.10
A4QDS9-A	4.2.1.-
A4IFD0-A	2.7.4.3,2.7.4.-
A8GAV7-A	4.99.1.-
Q5V574-A	1.1.1.-
P81708-A	3.2.1.17,3.2.1.-
Q8KF55-A	5.3.1.16,5.3.1.-
Q8GDP4-A	1.1.1.-
A1BGP1-A	3.4.25.-
Q31J60-A	3.5.4.-
Q12WC7-A	2.4.2.-,2.4.2.17
A9BD80-A	2.5.1.-
A7HFW2-A	3.6.1.-
A8G7E1-A	2.5.1.-
Q1H4R1-A	3.5.4.-
Q9JYH8-A	1.1.1.-
Q8DAV6-A	3.6.3.-
Q8LEE8-A	2.8.1.-
C1D6W3-A	3.6.1.-
Q89A99-A	3.4.21.53,3.4.21.-
A1T8W5-A	5.3.1.16,5.3.1.-
A7GMU9-A	5.3.1.16,5.3.1.-
P58836-A	3.5.4.-
